day,Eggs,Larvae,Pupae,Adults,Zero Locations
184,5533313.130485,340068.641315,205270.726307,315357,8900
185,5863780.356686,344932.276143,194811.613056,307001,9359
186,6067191.426882,347750.192312,181805.076095,297476,9936
187,5832353.936930,342393.768981,170303.067476,288529,10576
188,5720974.185409,338496.515730,161861.351880,277873,11385
189,5471677.185971,330038.161805,149739.032714,267424,12066
190,5248079.466998,325454.254083,146197.274581,256798,13016
191,5194051.143484,323865.141189,145929.714561,246506,13925
192,5284687.794355,327255.142254,150492.243467,237693,14711
193,5232422.210446,324772.785003,154233.687362,231030,15474
194,5092974.309422,323468.896667,160600.273383,225098,16199
195,5026393.761230,319579.734607,163212.503831,220792,16703
196,4855145.190110,317723.358061,166585.909468,218028,17027
197,4478128.098772,311444.438138,168537.917226,215822,17217
198,4402772.247773,305677.929990,165298.514310,214522,17601
199,4298840.898494,300686.231391,156797.066780,212977,17708
200,4185348.332660,297499.467081,154010.696554,209956,17914
201,4241647.054376,299497.996501,156274.096150,207125,18301
202,4011011.800965,297235.986170,164128.532619,205572,18520
203,4009041.183572,295919.792947,167925.678516,204778,18649
204,3815180.581988,293597.803860,178509.589709,204904,18577
205,4000900.368835,292577.092495,180078.649469,205509,18492
206,3813139.472462,296137.170126,196186.529588,207131,18246
207,3926542.617091,296589.465039,202918.271806,211240,17744
208,3967764.187649,297915.982235,202217.123749,215578,17231
209,4114705.403608,298924.093759,193336.994356,219381,16791
210,4333417.553409,304482.973123,193511.393657,221297,16545
211,4458841.391066,309508.670509,195581.474142,222510,16550
212,4516279.511019,312406.665965,199687.423554,224734,16301
213,4308788.318092,308700.423437,200463.228046,227088,16060
214,4090008.363313,301725.555698,193200.600882,229573,15906
215,3900628.241531,297042.810239,193092.912142,230408,15778
216,4070721.300002,300731.886142,199097.879187,230688,15745
217,4013699.205586,301185.652125,203065.455361,233037,15459
218,4112983.522395,302495.733109,201900.897242,234928,15104
219,4192579.644696,305413.213044,204751.716760,236469,14996
220,4153159.931418,305753.858362,208701.207658,237937,15009
221,4134466.137270,307285.592928,221347.620717,240092,14658
222,4402771.208833,313344.124487,227086.335005,244258,14240
223,4488143.178051,312708.001728,214995.364241,248955,13863
224,4414298.216617,313698.634575,218573.250634,251023,13625
225,4718876.366056,321031.349426,227975.934211,252981,13378
226,4720090.656381,322977.434117,234533.120258,255679,13106
227,4697612.472268,326247.294968,251326.159897,259558,12836
228,4646592.802427,324051.610312,260429.894274,266208,12372
